buchstabe	{'06828818-n'}
laden	{'04202417-n'}
fehlschluss	{'05893916-n'}
verchromen	{'14810704-n'}
jasmin	{'12307240-n'}
satzzeichen	{'06841365-n'}
xanthelasma	{'14233155-n'}
karma	{'07330362-n'}
prädestination	{'07330666-n'}
zornnatter	{'01730679-n'}
schleim	{'05415815-n'}
geistlicher	{'09927451-n'}
priestertum	{'08113443-n'}
geistliche	{'08113634-n'}
kreuzung	{'03135152-n', '01429953-v'}
hypoxie	{'14041256-n'}
hyperkapnie	{'14041940-n'}
psychiatrie	{'06055946-n'}
fettkraut	{'12872914-n'}
lindenbaum	{'12202936-n'}
schellack	{'14701628-n', '04191150-n'}
wasserfahrzeuge	{'04530566-n'}
motorboot	{'03790230-n'}
botanik	{'06066555-n'}
bank	{'02828884-n'}
sägen	{'03996145-n', '04140064-n'}
bohrung	{'01443021-v'}
bohren	{'01443021-v'}
schachtelhalm	{'13219422-n'}
london	{'08873622-n'}
manchester	{'08876975-n'}
birmingham	{'08877613-n'}
liverpool	{'08877382-n'}
bristol	{'08878708-n'}
gekreuzt	{'01429953-v'}
würfel	{'13916721-n'}
aztekisch	{'09648911-n'}
gejagt	{'01143838-v'}
australopithecus	{'02475821-n'}
athen	{'08785343-n'}
läufer	{'10542608-n'}
antananarivo	{'08962465-n'}
thailänder	{'09734294-n'}
bangkok	{'09036880-n'}
verb	{'06320569-n', '06318062-n'}
großkantschil	{'02436353-n'}
topf	{'03990474-n'}
gehandelt	{'02260362-v'}
gendarmerie	{'08210254-n'}
polizist	{'10448983-n'}
nukleon	{'09374886-n'}
österreichisch	{'09691604-n'}
wien	{'08846324-n'}
graz	{'08846626-n'}
venezianer	{'09717454-n'}
linz	{'08846739-n'}
salzburg	{'08846885-n'}
innsbruck	{'08847024-n'}
tirol	{'08846135-n'}
phenothiazin	{'14771643-n'}
erdbeben	{'07428954-n'}
reinigungskraft	{'03040587-n'}
karde	{'12682411-n'}
stachel	{'04033901-n'}
kugelschreiber	{'02783161-n'}
blutgerinnsel	{'05402091-n'}
oberleitungsbus	{'04487081-n'}
kleinbus	{'03769881-n'}
krume	{'07622261-n'}
anzahl	{'00634586-n'}
zählung	{'00634586-n'}
oleander	{'11773987-n'}
kuhkraut	{'11818636-n'}
mähre	{'02377480-n'}
fohlen	{'02376542-n'}
kleinpferd	{'02380335-n'}
widerrist	{'02462602-n'}
schecke	{'02389261-n'}
milwaukee	{'09158268-n'}
wunde	{'14285662-n'}
platzwunde	{'14287314-n'}
saskatoon	{'08830116-n'}
regina	{'08830005-n'}
karakorum	{'09323824-n'}
graph	{'01755291-v'}
schneckenklee	{'12548280-n'}
zirkon	{'14662281-n'}
windhund	{'02090827-n'}
rhododendron	{'12244153-n'}
schal	{'04143897-n'}
sand	{'15019030-n'}
propaganda	{'06674542-n'}
unternehmer	{'09882716-n'}
bern	{'09032321-n'}
genf	{'09032604-n'}
basel	{'09032483-n'}
zürcher	{'09033117-n'}
lausanne	{'09032981-n'}
theophyllin	{'04419315-n'}
roggen	{'12134025-n', '07907429-n'}
scotch	{'07907548-n'}
gälisch	{'07907161-n'}
tram	{'04335435-n'}
straßenbahn	{'04335435-n'}
nepal	{'08906374-n'}
meningoenzephalitis	{'14343411-n'}
pusteblume	{'12024176-n'}
absorption	{'13423922-n'}
adsorption	{'13427789-n'}
segler	{'01832167-n'}
fibroadenom	{'14238211-n'}
alkanna	{'12817694-n'}
eisen	{'14642417-n'}
natrium	{'14655371-n'}
zink	{'14661977-n'}
palladium	{'14648754-n'}
osmium	{'14647907-n'}
molybdän	{'14645661-n'}
rhodium	{'14652623-n'}
ruthenium	{'14653242-n'}
iridium	{'14642219-n'}
bismut	{'14631502-n'}
aktivität	{'00407535-n'}
kreter	{'09709795-n'}
asphalt	{'03900750-n', '14977504-n'}
pflaster	{'03900750-n'}
radikal	{'14621446-n'}
allee	{'02763472-n'}
sind	{'13613862-n'}
dachboden	{'03686130-n', '03686470-n'}
untergeschoss	{'02800497-n'}
zwischengeschoss	{'03758089-n'}
keller	{'02800497-n'}
eros	{'07487955-n'}
möhre	{'12937388-n'}
seezunge	{'02663849-n'}
armee	{'08191230-n'}
bologna	{'08806458-n'}
kautschuk	{'15006789-n'}
gier	{'04945758-n'}
habgier	{'04945758-n'}
wunsch	{'04945057-n'}
wassermokassinotter	{'01754533-n'}
batholith	{'14932303-n'}
pluton	{'14932303-n'}
dezidua	{'05519707-n'}
neodym	{'14645882-n'}
praseodym	{'14651212-n'}
samarium	{'14653596-n'}
lehrbuch	{'06414372-n'}
schulbuch	{'06414372-n'}
heft	{'06413889-n'}
regenwurm	{'01935395-n'}
mufflon	{'02415829-n'}
tee	{'07932841-n'}
grill	{'04111531-n'}
absurdität	{'06607809-n'}
unsinn	{'06609296-n'}
kokolores	{'06608728-n'}
level	{'05131902-n'}
höhe	{'05131283-n'}
kapillare	{'02956069-n'}
strahlungsthermometer	{'04029734-n'}
sepsis	{'14189837-n'}
größe	{'05095691-n', '05098942-n'}
maisgrieß	{'07568095-n'}
mus	{'07703333-n'}
exhibitionismus	{'00737894-n'}
fetischismus	{'00738058-n'}
pädophilie	{'00738270-n'}
voyeurismus	{'00738372-n'}
perversion	{'00854717-n'}
geschütz	{'03467984-n'}
faustfeuerwaffe	{'03948459-n'}
schlagzeuger	{'10415037-n'}
makrele	{'02624167-n'}
triglycerid	{'14885369-n'}
siswati	{'09732293-n'}
mbabane	{'09031501-n'}
shōgi	{'00505726-n'}
gerste	{'12123244-n'}
täufer	{'09677427-n'}
traubenzucker	{'14884336-n'}
aceton	{'14600504-n'}
propanon	{'14600504-n'}
geformt	{'01659248-v'}
antimaterie	{'14582535-n'}
fantasy	{'06368425-n'}
suva	{'08779375-n'}
fidschianisch	{'09705909-n'}
organell	{'05445668-n'}
erinnerung	{'05760202-n'}
spitzbergen	{'08764717-n'}
fertigkeit	{'05637558-n'}
scandium	{'14653831-n'}
flüssig	{'14940386-n'}
kandidose	{'14181713-n'}
sauger	{'01444922-n'}
rationalismus	{'06191018-n'}
reflex	{'00863513-n'}
golfspieler	{'10136959-n'}
konservatismus	{'06216160-n'}
mexiko	{'08740875-n'}
schneiden	{'01552519-v'}
geschliffen	{'01552519-v'}
steuerung	{'08164585-n'}
transkription	{'06349597-n'}
geißblatt	{'12676534-n'}
erweckungsbewegung	{'06231191-n'}
thalamus	{'05499172-n'}
hypothalamus	{'05499379-n'}
matratze	{'03731164-n'}
stimme	{'07030718-n'}
motiv	{'07029247-n'}
leitmotiv	{'07028797-n'}
kosovo	{'08816807-n'}
flavin	{'14870924-n'}
paddeln	{'02951358-n'}
hijacking	{'01471825-v'}
platterbse	{'12539074-n'}
avocado	{'11706761-n'}
zwergspitz	{'02112018-n'}
wolfsspitz	{'02112350-n'}
silhouette	{'08613345-n'}
belegen	{'10205985-n'}
mantel	{'03057021-n', '02955767-n'}
ulster	{'04506402-n'}
haferbrei	{'07874995-n'}
grütze	{'07704054-n'}
borrelien	{'01383027-n'}
soda	{'15044844-n'}
rhombencephalon	{'05500594-n'}
rautenhirn	{'05500594-n'}
markierung	{'07270179-n'}
subjekt	{'10668666-n'}
japaner	{'09718217-n'}
wahlrecht	{'05187446-n'}
reiherschnabel	{'12688716-n'}
dickkopf	{'02645538-n'}
sauerbaum	{'12242409-n'}
kartoffel	{'12897493-n'}
nachtschatten	{'12893463-n'}
aubergine	{'12896000-n'}
panamaer	{'09726120-n'}
konvention	{'06774316-n'}
emoticon	{'06280162-n'}
teilen	{'01557774-v'}
chlor	{'14634591-n'}
brom	{'14632129-n'}
iod	{'14641397-n'}
astat	{'14629561-n'}
gefangene	{'10476086-n'}
landwirt	{'10078806-n'}
bergfried	{'03610098-n'}
fort	{'03385557-n'}
hauptturm	{'03610098-n'}
protium	{'12693033-n'}
helling	{'04565039-n'}
trockendock	{'03251533-n'}
funktionieren	{'04602044-n'}
untergang	{'11444117-n'}
petticoat	{'03920737-n'}
antioxidans	{'14724645-n'}
schwarz	{'04960582-n'}
sandstrand	{'15019030-n'}
wellenbrecher	{'02894605-n'}
emotion	{'00026192-n'}
traurigkeit	{'07534430-n'}
überhang	{'03864356-n'}
melia	{'12695760-n'}
galeere	{'03412674-n'}
parthenogenese	{'13532501-n'}
globin	{'15025942-n'}
immunelektrophorese	{'13496167-n'}
brachsenkraut	{'13226320-n'}
rettich	{'11894327-n'}
kämpfer	{'09939313-n'}
kleriker	{'09927451-n'}
leibeigenschaft	{'13998263-n'}
nylon	{'14966192-n'}
pet	{'00902376-n'}
grubenwurm	{'01933151-n'}
archive	{'03177349-n'}
erdwolf	{'02118176-n'}
bratsche	{'12387478-n'}
rückkoppelung	{'13539262-n'}
jordanier	{'09718811-n'}
amman	{'08927548-n'}
seehase	{'02646667-n'}
testament	{'05800272-n'}
ding	{'04424418-n'}
homosexualität	{'00856847-n'}
geschworener	{'10228278-n'}
esparsette	{'12552309-n'}
schleifenblume	{'11889619-n'}
erfindung	{'03129123-n'}
leguminose	{'11747468-n'}
drücken	{'04027023-n'}
zügel	{'04072551-n'}
zaumzeug	{'03503718-n'}
nasenriemen	{'03831382-n'}
backenstück	{'03012013-n'}
physiker	{'10428004-n'}
forscher	{'10523076-n'}
chemiker	{'09913824-n'}
biologe	{'09855630-n'}
geologe	{'10127689-n'}
versehen	{'02327200-v'}
versorgung	{'02327200-v'}
ausstattung	{'02327200-v'}
bergfink	{'01530575-n'}
vanuatu	{'09160775-n'}
laichkraut	{'12615710-n'}
lyon	{'08936647-n'}
ausübung	{'00631378-n'}
arteriole	{'05337301-n'}
aorta	{'05335971-n'}
pensionierung	{'13384341-n'}
geschützturm	{'03469175-n'}
trübung	{'04703698-n'}
virginal	{'04537436-n'}
klaviatur	{'03039015-n', '03614007-n'}
harfe	{'03495258-n'}
taublatt	{'12783601-n'}
landgut	{'13246662-n'}
risiko	{'14541044-n'}
alkylbenzol	{'14601505-n'}
prednisolon	{'14753188-n'}
modiolus	{'05322735-n'}
bohnenkraut	{'12866968-n'}
zusammenschluss	{'08293982-n'}
kessel	{'04397768-n'}
einsatz	{'03990474-n'}
mond	{'15207872-n'}
lunation	{'15207872-n'}
monohydrat	{'14954152-n'}
aggression	{'00964569-n'}
versicherung	{'13344804-n'}
kerbel	{'12932706-n'}
oberschenkelknochen	{'05573895-n'}
hüfte	{'05596004-n'}
quadrizeps	{'05294819-n'}
herde	{'07994331-n'}
wachsen	{'15094294-n'}
medium	{'06261586-n', '06254669-n'}
kontrapunkt	{'07025419-n'}
glasgower	{'09749142-n'}
atomkern	{'09375085-n'}
isotop	{'14619658-n'}
harnlassen	{'13515958-n'}
birne	{'07767847-n'}
euterpe	{'12590842-n'}
allegro	{'15265021-n'}
andante	{'15265219-n'}
beiz	{'04018399-n'}
partei	{'08256968-n'}
lebermoos	{'11542640-n'}
olive	{'07767344-n'}
mandel	{'07750586-n'}
pfirsich	{'07751004-n'}
ausatmen	{'00835267-n'}
einatmen	{'00836788-n'}
hyperventilation	{'00833870-n'}
china	{'03018209-n', '08723006-n'}
louisville	{'09089923-n'}
lexington	{'09089782-n'}
hauptquartier	{'03504723-n'}
vorname	{'06337307-n'}
patrizier	{'09807754-n'}
peerage	{'08388636-n'}
heuchler	{'10195593-n'}
weißfisch	{'01441117-n'}
döbel	{'01441272-n'}
tendenz	{'06199561-n'}
amtstracht	{'04532106-n'}
wisent	{'02410900-n'}
detonation	{'00377686-n'}
stöcker	{'02580336-n'}
selene	{'02578125-n'}
kursiv	{'06827344-n'}
helvetica	{'06827947-n'}
taoist	{'09848285-n'}
ibis	{'02005790-n'}
schreitvögel	{'02001428-n'}
amnion	{'01472638-n'}
lärche	{'11619136-n'}
mammalia	{'01861465-n'}
soße	{'07838073-n'}
label	{'00971650-v'}
natrolith	{'15107524-n'}
chabasit	{'15107196-n'}
erklären	{'00024720-n'}
weichmacher	{'15055936-n'}
opa	{'10142391-n'}
oma	{'10142747-n'}
opi	{'10142391-n'}
morphologie	{'06178042-n'}
syntax	{'06176322-n'}
atrazin	{'14629772-n'}
totschlag	{'00220409-n'}
algen	{'01397497-n'}
chlorella	{'01411450-n'}
geheim	{'06672953-n'}
spannfutter	{'03027250-n'}
handrad	{'03490649-n'}
lehnsessel	{'03325403-n'}
eizelle	{'05457973-n'}
scimitar	{'04147793-n'}
ruine	{'01564144-v'}
simulation	{'00754956-n'}
muschel	{'01956481-n'}
arm	{'04565375-n'}
insekt	{'02159955-n'}
hooligan	{'09879297-n'}
erfahrung	{'05999797-n'}
ladendiebstahl	{'00781480-n'}
slowakisch	{'09699536-n'}
preßburg	{'08759263-n'}
pfeifenstrauch	{'12791329-n'}
bärentraube	{'12231192-n'}
jacquard	{'03591592-n'}
knauf	{'03626272-n'}
grabkammer	{'02921884-n'}
seismologie	{'06120496-n'}
geodäsie	{'06120881-n'}
kabel	{'06278338-n'}
pfifferling	{'13004423-n'}
hackbrett	{'03254737-n'}
fächer	{'03320046-n'}
broadway	{'09122086-n'}
prinz	{'10472799-n'}
artikel	{'06268096-n'}
sufismus	{'05949266-n'}
gegend	{'08630039-n'}
halobakterien	{'01348232-n'}
pike	{'03935450-n'}
oxidation	{'13530408-n'}
urin	{'14855724-n'}
gebrauch	{'00413239-n'}
comedian	{'09940818-n'}
weber	{'01542786-n'}
zuckerwurzel	{'12945549-n'}
polynesier	{'09727826-n'}
samoa	{'08991182-n'}
tonga	{'09037133-n'}
kletterpflanze	{'13102409-n'}
efeu	{'11798978-n'}
wolfram	{'14659512-n'}
böller	{'03345115-n'}
tubulus	{'05246796-n'}
pantherinae	{'02127808-n'}
trocknen	{'15239292-n'}
bit	{'13625237-n'}
nibble	{'13625884-n'}
kolitis	{'14341091-n'}
dominant	{'05438130-n'}
rezessiv	{'05438315-n'}
pinke	{'02684649-n'}
schnürung	{'03631445-n'}
atrium	{'02754656-n'}
kreuzgang	{'03047941-n'}
kaki	{'12771192-n', '12771390-n'}
erschöpfung	{'14463676-n', '14016361-n'}
halskette	{'03814906-n'}
schmuckstück	{'03596787-n'}
pin	{'03940713-n'}
spinne	{'01772222-n'}
dunkelsäger	{'01854415-n'}
zwergsäger	{'01855188-n'}
kappensäger	{'01854415-n'}
gänsesäger	{'01854700-n'}
intarsie	{'03572449-n'}
rem	{'14025755-n'}
schlaf	{'05681117-n'}
glykogen	{'14795749-n'}
cellulose	{'14793921-n'}
chitin	{'14732722-n'}
saccharid	{'14792703-n'}
ionosphäre	{'08588916-n'}
tollwut	{'14271667-n'}
zeitmessgerät	{'04437953-n'}
armbanduhr	{'04607869-n'}
zeitmesser	{'04437953-n'}
penelope	{'01799876-n'}
rheinland	{'08775297-n'}
bonn	{'08772137-n'}
hermelin	{'02442172-n'}
hexenblume	{'11725623-n'}
affenbrotbaum	{'12189987-n'}
zellulose	{'14793921-n'}
platte	{'06255777-n'}
pergament	{'14975779-n'}
malz	{'07926642-n'}
kreuzer	{'03140900-n'}
fregatte	{'03397412-n'}
panzerschiff	{'03585551-n'}
zerstörer	{'03180504-n'}
korvette	{'03113035-n'}
kamille	{'11949402-n'}
specht	{'01838598-n'}
mikroglia	{'05468211-n'}
schwadron	{'08220089-n'}
anglikanismus	{'06229106-n'}
weichtier	{'01940736-n'}
amin	{'14739004-n'}
panther	{'02128669-n'}
leopardin	{'02128598-n'}
kopiergerät	{'03257586-n'}
list	{'06760508-n'}
arkadier	{'09711754-n'}
desinfektionsmittel	{'02724207-n'}
amontillado	{'07901264-n'}
gelatine	{'07643981-n'}
sulz	{'07643981-n'}
sonate	{'07044088-n'}
pole	{'03976960-n'}
spießbock	{'02428508-n'}
jahrhundert	{'15205532-n'}
orakeln	{'10483530-n'}
prophetin	{'10483530-n'}
bildhauerkunst	{'04157320-n'}
nubisch	{'10364333-n'}
cortisol	{'14752702-n'}
cortison	{'14752952-n'}
dexamethason	{'14753808-n'}
segelfliegen	{'00303495-n'}
bandit	{'10120085-n'}
fasan	{'01803078-n'}
krankheitserreger	{'01386007-n'}
sorte	{'08101085-n'}
antidiabetikum	{'02719105-n'}
tolbutamid	{'04448826-n'}
kreuz	{'08227214-n'}
migration	{'01123095-n'}
rhythmus	{'07086518-n'}
eichel	{'12267677-n'}
anthrakose	{'14150210-n'}
asbestose	{'14150363-n'}
staublunge	{'14150612-n'}
fibrose	{'14207809-n'}
zweikeimblättrigen	{'11666854-n'}
alkan	{'14951377-n'}
krokodil	{'01697178-n'}
sülze	{'07808675-n'}
hengst	{'02374451-n'}
vergangenheit	{'06330262-n'}
parese	{'14558599-n'}
arabisch	{'09729530-n'}
araber	{'09729530-n'}
gänseblümchen	{'11939491-n'}
schma	{'07034035-n'}
mixer	{'03775199-n'}
buddha	{'09532942-n'}
whitehorse	{'08830882-n'}
klondike	{'08830720-n'}
kahlhecht	{'02639087-n'}
schnabeltier	{'01873310-n'}
echidna	{'01872772-n'}
ökotourismus	{'00298351-n'}
panik	{'14405931-n'}
café	{'02936281-n'}
korridor	{'03479952-n', '03895585-n'}
sone	{'13713817-n'}
solvent	{'15047313-n'}
eier	{'05524430-n'}
gendarm	{'10123122-n'}
polizeitruppe	{'08209687-n'}
nestor	{'01818704-n'}
papagei	{'01816887-n'}
instrument	{'03800933-n'}
mesoderm	{'01464077-n'}
herzkurve	{'13909632-n'}
basketball	{'02802426-n'}
volleyball	{'04540053-n'}
adeliger	{'10412910-n'}
peeress	{'10242791-n'}
dame	{'10242791-n'}
nahuatl	{'09648743-n'}
bor	{'14631871-n'}
memsahib	{'09687940-n'}
myelofibrose	{'14207978-n'}
kritik	{'05734018-n'}
krähenbeere	{'12751675-n'}
boa	{'01741943-n'}
akazie	{'11756092-n'}
birke	{'12281600-n', '12281241-n'}
eiche	{'12268246-n'}
maria	{'12365158-n'}
apia	{'08991752-n'}
erhalten	{'07642471-n'}
menadion	{'15093049-n'}
raumfahrzeug	{'04304215-n'}
gymnasium	{'08284481-n'}
nitrozellulose	{'14794993-n'}
campher	{'14790979-n'}
chromatin	{'05436080-n'}
chromatid	{'05444175-n'}
zentromer	{'05444324-n'}
schwingen	{'04371774-n'}
töpferwaren	{'03262519-n'}
männlichkeit	{'05008227-n'}
annalen	{'06515662-n'}
skandinavier	{'09730204-n'}
übergewichtig	{'05000537-n'}
mangostane	{'12366675-n'}
bezirk	{'08546183-n'}
drall	{'07442288-n'}
knoten	{'03627232-n'}
sandstein	{'14995541-n'}
maskulinum	{'06329165-n'}
loch	{'03526198-n'}
planke	{'15101854-n'}
koloskopie	{'00642446-n'}
sigmoidoskopie	{'00643208-n'}
rektoskopie	{'00643067-n'}
hysteroskopie	{'00642910-n'}
gastroskopie	{'00642762-n'}
selbstgespräch	{'07011387-n'}
schlichtung	{'07150644-n'}
ausländer	{'10103485-n'}
endorphin	{'14809057-n'}
schmalz	{'04627506-n'}
guyot	{'09300559-n'}
angelpunkt	{'03951971-n'}
taxonomie	{'06153186-n'}
biosystematik	{'06152973-n'}
polystyrol	{'14595711-n'}
indianapolis	{'09085593-n'}
kühlschrank	{'03273913-n'}
abt	{'09754404-n'}
benzylpenicillin	{'03910723-n'}
ampicillin	{'02705651-n'}
methicillin	{'03755388-n'}
piperacillin	{'03946532-n'}
kambodscha	{'08716738-n'}
myanmar	{'08715390-n'}
vietnam	{'09163192-n'}
hernie	{'14295389-n'}
eigentümlichkeit	{'04763925-n'}
anguilla	{'02526673-n'}
eingetragen	{'02472223-v'}
verzeichnis	{'02472223-v'}
ermittler	{'10215623-n'}
privatdetektiv	{'10476671-n'}
abhandlung	{'06408651-n'}
libreville	{'08945705-n'}
pendel	{'03909160-n'}
flocke	{'11509066-n'}
schneeflocke	{'11509066-n'}
schneefall	{'11508578-n'}
schwindsucht	{'14144064-n'}
arbeitnehmer	{'09632518-n'}
adverb	{'06323612-n'}
streitaxt	{'02764044-n'}
schimmelpilz	{'13077033-n'}
gewaltlosigkeit	{'01242716-n'}
schlitten	{'04235291-n'}
rabbinat	{'08113910-n'}
combo	{'08249960-n'}
malen	{'03875218-n'}
devanagari	{'06352782-n'}
passionsblume	{'12383402-n'}
ätzend	{'15014529-n'}
stechpalme	{'12756862-n'}
unzufrieden	{'07538965-n'}
karpfen	{'01439514-n'}
wasserrad	{'04563204-n'}
ökologie	{'06070929-n'}
spielzug	{'00279835-n'}
zauberin	{'10626540-n'}
geste	{'00334509-n'}
kopra	{'07773572-n'}
beerdigung	{'07451687-n'}
begräbnis	{'07451687-n'}
feier	{'07450842-n'}
erdbestattung	{'07451687-n'}
schwarze	{'09636339-n'}
hassen	{'07546465-n'}
strontium	{'14655731-n'}
polyp	{'01909906-n'}
blumentiere	{'01913838-n'}
qualle	{'01910747-n'}
schmätzer	{'01560636-n'}
bischofskappe	{'12800586-n'}
abendkleid	{'03450230-n'}
unterkleid	{'03013438-n'}
schulterfrei	{'04334105-n'}
asw	{'07256695-n'}
community	{'07941729-n'}
buschbock	{'02425228-n'}
nyala	{'02424909-n'}
diazepam	{'03189995-n'}
anxiolytikum	{'03771443-n'}
lanzettfischchen	{'01467804-n'}
hyperopie	{'14554011-n'}
tötungsdelikt	{'00220023-n'}
phallus	{'13040108-n'}
gazelle	{'02423022-n'}
speckstein	{'15044327-n'}
drache	{'09494388-n'}
lesezeichen	{'03721797-n'}
türkis	{'04969798-n'}
tagebuch	{'06402031-n'}
schmidt	{'10614629-n'}
kabeljau	{'02522399-n'}
wegekuckuck	{'01824035-n'}
